cv_repeat,response,method,task_balanced_standardized_mse,task_balanced_raw_mse,tissues
17,JAM2,COVER,0.2917664639678146,0.06911850801161595,11
17,JAM2,FLARCC,0.29227148772598055,0.06893844308346932,11
17,JAM2,HPS,0.29131970098175897,0.06843578054031409,11
17,JAM2,MMoE,0.3148865932443383,0.07344133307166406,11
17,JAM2,Pool,0.3254026217275514,0.07704798605490674,11
17,JAM2,STL,0.3439844811996923,0.08030818474669812,11
17,SH2D2A,ARMUL,0.7446245575098832,0.0596680786657231,11
17,SH2D2A,COVER,0.7170987136414927,0.057594210778398436,11
17,SH2D2A,FLARCC,0.7462700203688545,0.05950482552577457,11
17,SH2D2A,HPS,0.717252025747925,0.05756314757388922,11
17,SH2D2A,MMoE,0.8222257936315636,0.06385711254944024,11
17,SH2D2A,Pool,0.7061497833912227,0.056773297003821915,11
17,SH2D2A,STL,0.850877086929131,0.066458387301798,11
18,JAM2,ARMUL,0.2792209418239774,0.06816964175736967,11
18,JAM2,COVER,0.27978706634591793,0.06808406327402418,11
18,JAM2,FLARCC,0.2883791020780139,0.07012492729438845,11
18,JAM2,HPS,0.283702142625495,0.0689607258090665,11
18,JAM2,MMoE,0.3025035460391418,0.07310949654739118,11
18,JAM2,Pool,0.31715995608443914,0.07716383812163717,11
18,JAM2,STL,0.3255162989818503,0.07875244920973525,11
18,SH2D2A,ARMUL,0.6527756186288506,0.05788040635683503,11
18,SH2D2A,COVER,0.6758380337178644,0.060105982005245556,11
18,SH2D2A,FLARCC,0.663622168276649,0.05878012399484855,11
18,SH2D2A,HPS,0.6663948336297835,0.059029246114378126,11
18,SH2D2A,MMoE,0.7002149563642045,0.06013468100126387,11
18,SH2D2A,Pool,0.6500144439041301,0.05733896426173125,11
18,SH2D2A,STL,0.7956759068407693,0.06789861137090131,11
19,JAM2,ARMUL,0.28409076847983267,0.06945281251751174,11
19,JAM2,COVER,0.2876557218357653,0.07052984535371826,11
19,JAM2,FLARCC,0.29354441443194734,0.0715822029795587,11
19,JAM2,HPS,0.29646088173151813,0.07207147820583011,11
19,JAM2,MMoE,0.3123525977272544,0.07469685380098823,11
19,JAM2,Pool,0.3102808334323386,0.07470876088168209,11
19,JAM2,STL,0.31172017523641815,0.07476560922791377,11
19,SH2D2A,ARMUL,0.6732573568893784,0.05927171139300242,11
19,SH2D2A,COVER,0.6617857236134087,0.058251715142176835,11
19,SH2D2A,FLARCC,0.6830785294436055,0.06026255188034441,11
19,SH2D2A,HPS,0.666566139902059,0.059196166523672836,11
19,SH2D2A,MMoE,0.7744316778776824,0.06776166336080236,11
19,SH2D2A,Pool,0.6515293848850985,0.0580273568172311,11
