cv_repeat,response,method,tissue,standardized_sse,raw_sse,test_samples,standardized_mse,raw_mse
0,SH2D2A,FLARCC,brain_cerebellum,134.34453838975165,8.327458149397673,241,0.5574462173848617,0.03455376825476213
0,SH2D2A,FLARCC,brain_cortex,121.77478336602299,10.995118296377127,255,0.47754817006283523,0.043118110966184814
0,SH2D2A,FLARCC,brain_frontal_cortex_ba9,92.13475108259613,9.321084997672,209,0.44083612958179963,0.04459849281182775
0,SH2D2A,FLARCC,brain_hypothalamus,150.71487181298113,15.59915162457093,202,0.7461132267969363,0.07722352289391549
0,SH2D2A,FLARCC,brain_nucleus_accumbens_basal_ganglia,148.14319482866247,11.08042368275851,246,0.6022081090596035,0.04504237269414029
0,SH2D2A,FLARCC,brain_putamen_basal_ganglia,105.88072919190256,9.636550075920825,205,0.5164913619117198,0.04700756134595525
0,SH2D2A,FLARCC,brain_spinal_cord_cervical_c-1,97.95280523280472,16.621455779588715,159,0.6160553788226713,0.10453745773326235
0,SH2D2A,HPS,brain_amygdala,187.38802759714338,13.663587103226746,152,1.232815971033838,0.08989202041596543
0,SH2D2A,HPS,brain_anterior_cingulate_cortex_ba24,183.05622883257394,15.231685357578696,176,1.0400922092759883,0.08654366680442441
0,SH2D2A,HPS,brain_caudate_basal_ganglia,147.34119453372264,13.029050198225953,246,0.5989479452590352,0.05296361869197542
0,SH2D2A,HPS,brain_cerebellar_hemisphere,135.70883441822835,3.955025779766863,215,0.6312038810150156,0.01839546874310169
0,SH2D2A,HPS,brain_cerebellum,131.0140712847795,8.112075721518801,241,0.5436268518040643,0.033660065234517846
0,SH2D2A,HPS,brain_cortex,121.95689483837799,10.95127970372005,255,0.4782623326995215,0.04294619491654922
0,SH2D2A,HPS,brain_frontal_cortex_ba9,92.91554372584588,9.39188541985735,209,0.44457197954950184,0.04493725081271459
0,SH2D2A,HPS,brain_hypothalamus,154.76770567317172,16.123454242749492,202,0.7661767607582758,0.07981908040965095
0,SH2D2A,HPS,brain_nucleus_accumbens_basal_ganglia,146.27232532257483,10.908941125586825,246,0.5946029484657513,0.04434528912840173
0,SH2D2A,HPS,brain_putamen_basal_ganglia,111.31203359661721,10.045543012687071,205,0.5429855297395961,0.049002648842375957
0,SH2D2A,HPS,brain_spinal_cord_cervical_c-1,100.69124566414337,17.064159748577026,159,0.6332782746172538,0.10732175942501275
0,SH2D2A,MMoE,brain_amygdala,197.4032967985377,14.381445484461413,152,1.2987058999903796,0.09461477292408824
0,SH2D2A,MMoE,brain_anterior_cingulate_cortex_ba24,209.10672077049423,17.2336035210126,176,1.1881063680141717,0.09791820182393524
0,SH2D2A,MMoE,brain_caudate_basal_ganglia,173.83566181660882,15.329401569467002,246,0.7066490317748326,0.06231464052628863
0,SH2D2A,MMoE,brain_cerebellar_hemisphere,151.40187928883188,4.387812559093504,215,0.7041947873899157,0.02040843050741165
0,SH2D2A,MMoE,brain_cerebellum,130.8522299824431,8.109243005622012,241,0.5429553111304694,0.033648311226647354
0,SH2D2A,MMoE,brain_cortex,127.67646968537301,11.500990548293105,255,0.5006920379818549,0.04510192371879649
0,SH2D2A,MMoE,brain_frontal_cortex_ba9,95.23099923172867,9.66790704751654,209,0.4556507140274099,0.046257928457016935
0,SH2D2A,MMoE,brain_hypothalamus,173.35075621529938,17.152652042682945,202,0.8581720604717791,0.0849141190231829
0,SH2D2A,MMoE,brain_nucleus_accumbens_basal_ganglia,167.68824667236393,12.39695524164949,246,0.6816595393185526,0.050394126998575164
0,SH2D2A,MMoE,brain_putamen_basal_ganglia,126.46302432346481,11.58076257321106,205,0.6168928015778771,0.05649152474737103
